Title,URL,Type,Start_date,End_date,Countries,Funding,Funding_source,Funding_information,Partner,PI_institution,Principal_investigator,Partner,Abstract,Objectives,Methodology,Themes
Olyset Duo?,http://www.malariaeradication.org/mesa-track/olyset-duo%E2%84%A2,Project,,,"Tanzania, United Republic of, Benin, Burkina Faso",,IVCC,,"London School of Hygiene & Tropical Medicine (LSHTM), Kilimanjaro Christian Medical University College, Tanzania, Entomological Research Center of Cotonou (CREC), Benin,  Research Institute of Health Sciences (IRSS), Burkina Faso",Sumitomo Chemical ,,"London School of Hygiene & Tropical Medicine (LSHTM), Kilimanjaro Christian Medical University College, Tanzania, Entomological Research Center of Cotonou (CREC), Benin,  Research Institute of Health Sciences (IRSS), Burkina Faso","Sumitomo has developed a new dual active ingredient LLIN based on Permethrin and Pyriproxyfen. IVCC is supporting the finalization of this formulation and its testing.
","To re-purpose a compound developed for CP for VC applications, an LLIN incorporated with Permethrin and Pyriproxyfen.",Entomology,Tools for elimination
Fludora? Fusion ,http://www.malariaeradication.org/mesa-track/fludora%E2%84%A2-fusion,Project,,,"Tanzania, United Republic of",,IVCC,,"London School of Hygiene & Tropical Medicine (LSHTM), Kilimanjaro Christian Medical University College, Tanzania",Bayer CropScience AG,,"London School of Hygiene & Tropical Medicine (LSHTM), Kilimanjaro Christian Medical University College, Tanzania","Bayer has developed a new IRS formulation based on clothianidin and deltamethrin. IVCC is supporting its field testing to generate data for the WHO PQ submission.
",To re-purpose a compound developed for crop protection for vector control (VC) applications,Entomology,Tools for elimination
Sumishield?,http://www.malariaeradication.org/mesa-track/sumishield%E2%84%A2,Project,,,,,IVCC,,,Sumitomo Chemical ,,,"Sumitomo has developed a new IRS formulation based on clothianidin. IVCC is supporting its field testing to generate data for the WHO PQ submission. 
",The objectives of this project are to re-purpose a compound developed for crop protection for vector control (VC) applications.,Entomology,Tools for elimination
Novel insecticidal active ingredient for public health,http://www.malariaeradication.org/mesa-track/novel-insecticidal-active-ingredient-public-health,Project,,,,,IVCC,,,"Bayer CropScience AG, Mitsui Chemicals Agro, Inc, Sumitomo Chemical , Syngenta",,,"Bayer, Mitsui, Sumitomo and Syngenta are partnering with IVCC to develop novel insecticides dedicated to public health. If successful, this insecticide will be developed as LLIN and IRS. 
",The aim of this project is to introduce new chemistry in vector control products to create a sustainable toolbox allowing for IRM. The objectives are to register a new insecticide fulfilling the vector control TPP; and develop IRS and/or LLIN products with a robust IRM strategy.,Entomology,Tools for elimination
Eave tubes for mosquito control,http://ihi.or.tz/project/eave-tubes-for-mosquito-control/,Project,2015,2017,"Tanzania, United Republic of",,Human Development Innovation Fund (HDIF),,"In2Care , Pennsylvania State University, Biogents AG, Germany",Ifakara Health Institute (IHI),Ladslaus Mnyone,"In2Care , Pennsylvania State University, Biogents AG, Germany","Eave tubes are 6-inch diameter plastic pipes that are fitted in walls underneath the roof of houses. Mosquitoes are attracted into them when responding to the body odour of house occupants. House entry is prevented by netting fitted inside the tube that is treated with coating that binds powder particles of insecticides. The novel netting has permitted the use of mosquito control insecticides in powder formulations; a fairly noble break through which will help restore effective shelf life of conventional insecticides. Among other merits, Eave tube technology is easy to install, protect the whole family and kill even the mosquitoes that are resistant to conventional insecticide formulations.
","The project aims to i) install eave tubes in a total of 2000 houses in Mikese, Morogoro and Mbweni, Dar es Salaam ii) measure impact and consumer acceptance, iii) establish a network of public and private stakeholders and iv) initiate activities towards local manufacturing of the technology.
This new vector control method can work in combination with other types of outdoor and indoor traps.",Entomology,Tools for elimination
New approach-method for controlling African Malaria vectors,http://www.economy.gov.il/English/NewsRoom/PressReleases/Pages/GCIAwardWinners2015.aspx,Project,2015,2016,,$128 185,Grand Challenges Israel,"500,000 NIS",,Westham,Amir Galili,,"Female Anopheles mosquitoes transmit malaria when they feed repeatedly on human blood (the protein is required for egg production). Both male and female mosquitoes must feed daily on sugar as a source of energy for survival. They find sugar in floral nectar flowers and fruits by following their specific, attractive scents. An interdisciplinary team of scientists from Westham Ltd. and several Universities exploited this obligatory sugar-feeding behaviour to develop a completely new vector control method and the main achievement is the development of an effective plant-based mosquito attractant. This is the basis of an ?attract and kill? trap strategy, named Attractive Toxic Sugar Baits method (ATSB), that uses baits consisting of the mosquito attractant combined with sugar and an oral low risk toxin. Since the new method allows the employment of numerous agricultural oral toxins it is also ideal for evading Insecticide Resistance.
Since 2014 a commercial product is available for the US market to control nuisance mosquitoes. This product is applied as a spray on vegetation. But for Malaria control in sub-Saharan Africa there is a need to develop long lasting, inexpensive Bait Stations (small containers with exposed ATSB) that can be placed inside and around houses in the absence of vegetation.
","To develop a long lasting and inexpensive outdoor trap, exploiting the mosquitoes' sugar feeding behaviour. 
Phase 1. To create a commercialization plan that includes licensing of technologies and active ingredients, strategies to complete WHO proof of concept, and evaluation requirements, country registration strategies, other market entry requirements, including distributor and/or selection strategies.
Phase 2. The prototypes will be manufactured in Israel and deployed at field sites in Africa for evaluation as a malaria vector control tool. The impact of the product on malaria vector densities, their survival rates, and malaria transmission by local vector populations will be assessed in controlled field trials, and performance benchmarks established.
This project aims to involve the local communities and aid organisations to promote success and social acceptance.
Phase 3. Assessment of field trial results, complete negotiations with WHO and other key stakeholders for approval of a commercial product as a public health tool, and product registration issues.",Entomology,Tools for elimination
Acoustic Tracking of Mosquito Swarms for Vector Control,https://gcgh.grandchallenges.org/grant/acoustic-tracking-mosquito-swarms-vector-control,Project,Nov-15,May-17,,$100 000,Bill & Melinda Gates Foundation (BMGF),"Grand Challenges Explorations, New Approaches for Addressing Outdoor/Residual Malaria Transmission (Round 15)",,"Columbia University, USA",Szabolcs Marka,,,"To develop acoustic software to locate mosquito swarms by their sound, thereby allowing elimination of thousands of breeding vector mosquitos that can cause diseases such as malaria. It has already been demonstrated that a single distant mosquito in a noisy laboratory setting can be acoustically detected. The team will further develop acoustic locator hardware and sensors targeting the common malaria mosquito Anopheles and field-test its performance in locating swarms from several tens of meters. By studying the acoustics of single mosquitoes as well as of swarms, it could be possible to track the behaviour of individuals and to artificially induce swarm formation, to further support disease control efforts by creating acoustic signals in traps to attract mosquitoes.",Entomology,Tools for elimination
Cow-Baited Tents as a Monitoring and Intervention Tool,https://gcgh.grandchallenges.org/grant/cow-baited-tents-monitoring-and-intervention-tool,Project,Nov-15,May-17,Cambodia,$100 000,Bill & Melinda Gates Foundation (BMGF),"Grand Challenges Explorations, New Approaches for Addressing Outdoor/Residual Malaria Transmission (Round 15)",,National Institutes of Health (NIH),Brandyce St. Laurent,,,"To test whether cow-baited tents can be used as a trap to monitor and control disease-causing mosquitoes in the Greater Mekong Sub-region. Most Anopheles mosquitoes preferentially bite animals, but they still contribute to malaria transmission in humans, and many bite outdoors, rendering bednets and indoor repellents useless against them. The team will produce low-cost tents treated with insecticide, and locally rent cows as bait. The tents will be set up in both villages and forests and the captured mosquitoes will be analysed to evaluate the efficacy of their approach.",Entomology,Tools for elimination
Functional Microdispensers for Reducing Outdoor Malaria Transmission,https://gcgh.grandchallenges.org/grant/functional-microdispensers-reducing-outdoor-malaria-transmission,Project,May-15,Nov-16,,$100 000,Bill & Melinda Gates Foundation (BMGF),"Grand Challenges Explorations, New Approaches for Addressing Outdoor/Residual Malaria Transmission (Round 14)",,GearJump Technologies,Noel Elman,,,"Noel Elman of GearJump Technologies in the U.S. will produce a biodegradable device that can be used outdoors for the controlled release of pesticides and mosquito repellents in a defined area. Current methods for reducing malaria transmission by chemically targeting mosquitoes are quite crude and can cause widespread or prolonged exposure of the human population to toxic chemicals. They will build a functional microdispenser (FMD) from biodegradable polymer that releases chemicals contained in a porous membrane upon exposure to oxygen, which can be controlled by various parameters such as pore size. These FMDs can be manufactured at low cost using 3D printers, and will be tested in large outdoor cages.",Entomology,Tools for elimination
siRNA Larvicides for Control of Malaria Vector Mosquitoes,https://gcgh.grandchallenges.org/grant/sirna-larvicides-control-malaria-vector-mosquitoes,Project,May-15,Nov-16,,$100 000,Bill & Melinda Gates Foundation (BMGF),"Grand Challenges Explorations, New Approaches for Addressing Outdoor/Residual Malaria Transmission (Round 14)",,Indiana University School of Medicine,Molly Duman Scheel,,,"To perform a high-throughput screen to identify small interfering (si)RNAs that cause death when ingested by mosquito larvae as a method for reducing malaria transmission. Malaria vector mosquitoes are developing resistance to current larval insecticides, which are used to complement other control strategies such as insecticide-treated nets. Small RNAs are ingested by mosquito larvae and can silence their gene targets. The team will perform a screen of siRNAs targeting 1000 candidate larval essential genes in the malaria vector mosquito Anopheles gambiae at different developmental stages. Identified lethal siRNAs will be tested in multiple Anopheline species to target malaria spread by other species.",Entomology,Tools for elimination
Design and Development of Wearable Personal Devices,https://gcgh.grandchallenges.org/grant/design-and-development-wearable-personal-devices,Project,May-15,Nov-16,,$100 000,Bill & Melinda Gates Foundation (BMGF),"Grand Challenges Explorations, New Approaches for Addressing Outdoor/Residual Malaria Transmission (Round 14)",,Vanderbilt University,Laurence J. Zwiebel,,,"To produce a wearable self-powered device containing the compound VUAA known to repel the malaria vector mosquito Anopheles gambiae. This will help to protect individuals from being bitten outdoors. The team will optimize volatilization of VUAA compounds, and explore strategies to incorporate selected analogues into wearable materials. Available technologies that can harness energy from movement, the sun, or body heat, and long- lasting batteries will also be tested for integration into the wearable device and their ability to control a slow release of the repellent.",Entomology,Tools for elimination
Evaluation of topical repellents as additional vector control measures to control residual transmission in malaria pre-elimination areas,http://flandershouse.org/itm-receives-grant-from-b-m-gates-foundation,Project,Oct-11,2014,Cambodia,$2 997 591,Bill & Melinda Gates Foundation (BMGF),BMGF Grant OPP1032354,"National Center for Parasitology, Entomology and Malaria Control, Cambodia (CNM), Institut Pasteur du Cambodia (IPC)","Institute of Tropical Medicine Antwerp, Belgium",Marc Coosemans,"National Center for Parasitology, Entomology and Malaria Control, Cambodia (CNM), Institut Pasteur du Cambodia (IPC)","In Southeast Asia a substantial decrease of malaria has been achieved during the last decade and elimination is now becoming a realistic goal. However residual transmission due to outdoor and/ or early biting vectors is not tackled by wide coverage of insecticide treated nets (ITNs). This may compromise the elimination efforts. For this purpose this study aims to evaluate the public health value of mass use of topical repellent in addition to ITNs. A randomized community based design has been adopted covering a population of 40,000 inhabitants in the province of Ratanakiri in Cambodia. The 98 clusters were randomly divided in two arms after a pre-trial survey: one intervention arm (ITN and repellent) and one control arm (only ITNs). Comparing to a randomized household trial, present design has the advantage to avoid the risk of the repellent aversion effect and the exchange of products between the households. The principal indicator of effectiveness is the prevalence of parasite carriers measured by PCR techniques using a mobile molecular lab in the field, and the measurement of malaria antibodies. While parasite-prevalence provides a snapshot of the exposure to malaria at a certain moment, serological indicators provide a picture of the ?force of malaria infection? over a prolonged period. Moreover, passive case detection provides a measurement of malaria disease incidence in both arms.
The effectiveness of the intervention is dependent on the efficacy of the repellents against vector bites and the effective use of repellents by the population and both are addressed in the study design. The outcome of this study will be crucial in the development of new strategies to control not only the indoor transmission during sleeping time (ITN) but also the increasing proportion of residual transmission which occurs mainly outdoors, and before and after sleeping time.
Evaluation of topical repellents as additional vector control measures to control residual transmission in malaria pre-elimination areas
","To assess a vector control strategy based on large scale use of repellents in tackling the residual malaria transmission induced by early and outdoor biting vectors, a major barrier to achieve malaria elimination.","Entomology, Operational research",Tools for elimination
"Durable, practical, effective and affordable formats for insecticide-treated eave baffles that protect households and suppress malaria transmission across entire communities",http://www.malariaeradication.org/mesa-track/durable-practical-effective-and-affordable-formats-insecticide-treated-eave-baffles,Project,Mar-17,Sep-18,"Tanzania, United Republic of",$170 000,"Medical Research Council (MRC), UK",,Ifakara Health Institute (IHI),Liverpool School of Tropical Medicine (LSTM),Gerry F. Killeen,Ifakara Health Institute (IHI),"Recently, eave baffles (EBs) were developed as new deployment format for existing IRS formulations, which are more efficacious and could reduce insecticide consumption by as much as 30-fold. EBs also have the considerable advantage that they can be safely treated and re-treated in situ by any individual, community, or program agent. In stark contrast to IRS which delivers insecticides in aerosol form so protective clothing, eyewear and breathing apparatus are required, eave baffles may be impregnated by simply dipping in an aqueous suspension in the same way that long-lasting insecticidal nets already are, requiring only plastic gloves for protection. The transition from IRS to eave baffle deployment formats could therefore allow national programmes to develop and manage vector control practices with far greater ease and flexibility. The project aims to develop and evaluate a scalable prototype of EBs that can be commercialized and taken to scale.
","Re-assess the insecticidal efficacy of the previously evaluated experimental prototype eave baffles (EBs) against An. funestus and An. arabiensis in experimental huts at 12, 18, 24 and 30 months post-treatment, to demonstrate long-term efficacy when co-treated with BA.
Develop a new EB trap design in a readily-manufactured ?on a roll? format, together with broadly scalable installation procedures, and demonstrate successful installation that reduces mosquito biting nuisance by ?80% and assess user perceptions, in a random sample of rural Tanzanian houses.
Demonstrate equivalent insecticidal efficacy of the scalable EB trap-on-a-roll format to the previous experimental prototype in the experimental huts required to measure impact on mosquito survival.
This technology could work together with outdoor traps in order to target both indoor and outdoor-biting mosquitoes.",Entomology,Tools for elimination
